group,key,en-US,de-DE,es-ES,es-MX,fr-FR,it-IT,ko-KR,pt-BR,ru-RU,uk-UA
js,mapping_manipulation_tools_scale_y_label,Scale Y,,,,,,,,,Масштаб по вертикалі
js,mapping_manipulation_tools_move_x_label,Move X,,,,,,,,,Пересунути по горизонталі
js,mapping_manipulation_tools_move_y_label,Move Y,,,,,,,,,Пересунути по вертикалі
js,header_floor_selection_label,Floors,,,,,,,,,Поверхи
js,header_map_object_group_label,Show/hide,,,,,,,,,Показати / Сховати
js,enemy_map_object_group_label,Enemies,,,,,,,,,Вороги
js,enemypatrol_map_object_group_label,Patrols,,,,,,,,,Патрулі
js,enemypack_map_object_group_label,Packs,,,,,,,,,Групи ворогів
js,path_map_object_group_label,Paths,,,,,,,,,Шляхи
js,dungeonfloorswitchmarker_map_object_group_label,Floor switches,,,,,,,,,Перемикачі поверхів
js,brushline_map_object_group_label,Drawn lines,,,,,,,,,Намальовані лінії
js,mapicon_map_object_group_label,Icons,,,,,,,,,Значки
js,killzone_map_object_group_label,Pulls,,,,,,,,,Сутички
js,killzonepath_map_object_group_label,Pull connections,,,,,,,,,Сполучення сутичок
js,floorunion_map_object_group_label,Floor unions,,,,,,,,,Сполучення поверхів
js,floorunionarea_map_object_group_label,Floor union areas,,,,,,,,,Зони сполучених поверхів
js,mountablearea_map_object_group_label,Mountable areas,,,,,,,,,Місця для їзди
js,publish_state_title_unpublished,Unpublished,,,,,,,,,Неопубліковано
js,publish_state_subtext_unpublished,Only you may view this route,,,,,,,,,Лише ви можете переглядати маршрут
js,publish_state_title_team,Team only,,,,,,,,,Лише для команди
js,publish_state_subtext_team,Only members of teams you are in may view this route,,,,,,,,,Лише учасники ваших команд можуть переглядати маршрут
js,publish_state_title_world,Public,,,,,,,,,Опубліковано
js,publish_state_subtext_world,Your route may be viewed by anyone and can be found on Keystone.guru,,,,,,,,,"Маршрут доступний усім, його можна знайти на Keystone.guru"
js,publish_state_title_world_with_link,Public with link,,,,,,,,,Лише за посиланням
js,publish_state_subtext_world_with_link,Anyone with the link may see your route (Patreon only),,,,,,,,,Будь-хто з посиланням може переглянути маршрут (лише з Patreon)
js,publish_label,Publish,,,,,,,,,Опублікувати
js,unpublish_label,Unpublish,,,,,,,,,Приховати
js,add_remove_tag_label,Add/remove tags,,,,,,,,,Змінити мітки
js,clone_label,Clone,,,,,,,,,Дублювати
js,clone_to_profile_label,Clone to my profile,,,,,,,,,Дублювати у свій профіль
js,clone_to_team_label,Clone to Team,,,,,,,,,Дублювати в команду
js,migrate_to_encrypted_label,Migrate to Encrypted,,,,,,,,,Перенести до Encrypted
js,migrate_to_shrouded_label,Migrate to Shrouded,,,,,,,,,Перенести до Shrouded
js,delete_label,Delete,,,,,,,,,Видалити
js,placeholder_new_tag_label,new tag,,,,,,,,,нова мітка
js,no_tags_assigned_label,No tags assigned,,,,,,,,,Без міток
js,current_tags_label,Current tags,,,,,,,,,Поточні мітки
js,add_tag_with_enter_label,Tip: press Enter to create a non-existing tag,,,,,,,,,Порада: натисніть Enter для створення мітки
js,selected_label,selected,,,,,,,,,вибрано
js,affixes_label,Affixes,,,,,,,,,Модифікатори
js,attributes_label,Attributes,,,,,,,,,Властивості
js,setup_label,Setup,,,,,,,,,Група
js,new_mapping_version_label,A new mapping version for your route's dungeon is available. Upgrade your route now by editing it.,,,,,,,,,"Доступна нова версія мапи для підземелля вашого маршруту. Оновіть маршрут, відредагувавши його."
js,submit_label,Submit,,,,,,,,,Підтвердити
js,select_category_label,Select category...,,,,,,,,,Вибрати категорію...
js,pull_workbench_header_label,P:index,,,,,,,,,С:index
js,pull_workbench_add_kill_area_label,Add kill area,,,,,,,,,Додати зону вбивства
js,pull_workbench_remove_kill_area_label,Remove kill area,,,,,,,,,Прибрати зону вбивства
js,pull_workbench_pull_description_label,Pull :index description,,,,,,,,,Опис сутички :index
js,pull_workbench_pull_supported_tags_label,Supported HTML tags: :tags,,,,,,,,,Підтримувані мітки HTML: :tags
js,pull_workbench_pull_description_length,Description length: :current/:max,,,,,,,,,Довжина опису: :current/:max
js,kill_zone_has_boss_label,:bosses in pull,,,,,,,,,Боси в сутичці: :bosses
js,kill_zone_has_awakened_label,Awakened enemy in pull,,,,,,,,,У сутичці ворог з ефектом Awakened
js,kill_zone_has_prideful_label,Prideful enemy in pull,,,,,,,,,У сутичці ворог з ефектом Prideful
js,kill_zone_has_inspiring_label,Inspiring enemy in pull,,,,,,,,,У сутичці ворог з ефектом Inspiring
js,kill_zone_has_shrouded_label,Shrouded enemy in pull,,,,,,,,,У сутичці ворог з ефектом Shrouded
js,kill_zone_has_shrouded_zul_gamux_label,Zul'gamux in pull,,,,,,,,,У сутичці присутня Зул'ґамукс
js,kill_zone_enemy_row_has_boss_label,Boss,,,,,,,,,Бос
js,kill_zone_enemy_row_has_awakened_label,Awakened enemy,,,,,,,,,Ворог з ефектом Awakened
js,kill_zone_enemy_row_has_prideful_label,Prideful enemy,,,,,,,,,Ворог з ефектом Prideful
js,kill_zone_enemy_row_has_inspiring_label,Inspiring enemy,,,,,,,,,Ворог з ефектом Inspiring
js,kill_zone_enemy_row_has_shrouded_label,Shrouded enemy,,,,,,,,,Ворог з ефектом Shrouded
js,kill_zone_enemy_row_has_dangerous_label,Dangerous enemy,,,,,,,,,Небезпечний ворог
js,path,Path,,,,,,,,,Шлях
js,path_title,Draw a path. Hotkey: <b>:hotkey</b>,,,,,,,,,Намалювати шлях. Клавіша: <b>:hotkey</b>
js,killzone,Killzone,,,,,,,,,Зона вбивства
js,mapicon,Icon,,,,,,,,,Значок
js,mapicon_title,Create an icon. Hotkey: <b>:hotkey</b>,,,,,,,,,Створити значок. Клавіша: <b>:hotkey</b>
js,map_icon,Icon,,,,,,,,,Значок
js,brushline,Draw,,,,,,,,,Малювати
js,brushline_title,Draw a line. Hotkey: <b>:hotkey</b>,,,,,,,,,Намалювати лінію. Клавіша: <b>:hotkey</b>
js,pridefulenemy,Prideful,,,,,,,,,Prideful
js,pridefulenemy_title,Create a Prideful Enemy. Hotkey: <b>:hotkey</b>,,,,,,,,,Створити ворога з ефектом Prideful. Клавіша: <b>:hotkey</b>
js,pridefulenemy_disabled_title,Remove a Prideful Enemy first,,,,,,,,,Спочатку приберіть ворога з ефектом Prideful
js,pridefulenemy_disabled_no_shadowlands_title,Prideful Enemies are only available for Shadowlands dungeons!,,,,,,,,,Вороги з ефектом Prideful доступні лише в підземеллях Shadowlands!
js,edit,Edit,,,,,,,,,Змінити
js,edit_title,Edit objects on the map. Hotkey: <b>:hotkey</b>,,,,,,,,,Змінити об'єкти на мапі. Клавіша: <b>:hotkey</b>
js,delete,Delete,,,,,,,,,Видалити
js,delete_title,Delete objects on the map. Hotkey: <b>:hotkey</b>,,,,,,,,,Видалити об'єкти на мапі. Клавіша: <b>:hotkey</b>
js,finish,Finish,,,,,,,,,Завершити
js,finish_drawing,Finish drawing,,,,,,,,,Завершити малювання
js,enemypack,Pack,,,,,,,,,Група ворогів
js,enemypack_title,Draw an enemy pack. Hotkey: <b>:hotkey</b>,,,,,,,,,Намалювати групу ворогів. Клавіша: <b>:hotkey</b>
js,enemy,Enemy,,,,,,,,,Ворог
js,enemy_title,Draw an enemy. Hotkey: <b>:hotkey</b>,,,,,,,,,Намалювати ворога. Клавіша: <b>:hotkey</b>
js,enemypatrol,Patrol,,,,,,,,,Патруль
js,enemypatrol_title,Draw a patrol route for an enemy. Hotkey: <b>:hotkey</b>,,,,,,,,,Намалювати шлях патрулювання для ворога. Клавіша: <b>:hotkey</b>
js,dungeonfloorswitchmarker,Floor,,,,,,,,,Поверх
js,dungeonfloorswitchmarker_title,Draw a dungeon floor switch marker. Hotkey: <b>:hotkey</b>,,,,,,,,,Намалювати позначку перемикача поверхів. Клавіша: <b>:hotkey</b>
js,mountablearea,Mountable,,,,,,,,,Можна їздити
js,mountablearea_title,Draw an area in which players are allowed to mount. Hotkey: <b>:hotkey</b>,,,,,,,,,"Намалювати зону, у якій гравці можуть їздити. Клавіша: <b>:hotkey</b>"
js,floorunion,Union,,,,,,,,,Сполучення
js,floorunion_title,Mark a location on the map that represents another floor. Hotkey: <b>:hotkey</b>,,,,,,,,,"Позначити місцевість на мапі, яка представляє інший поверх. Клавіша: <b>:hotkey</b>"
js,floorunionarea,Unionarea,,,,,,,,,Зона сполучення
js,floorunionarea_title,Draws a floor union area on the map which represents the area in which a floor union is actually active. Hotkey: <b>:hotkey</b>,,,,,,,,,"Створює на мапі зону сполучених поверхів, яка показує територію, де сполучення поверхів насправді активне. Клавіша: <b>:hotkey</b>"
js,title_raid_marker_no_selection,No raid marker,,,,,,,,,Без рейдових позначок
js,title_raid_marker_star,Star,,,,,,,,,Зірка
js,title_raid_marker_circle,Circle,,,,,,,,,Круг
js,title_raid_marker_diamond,Diamond,,,,,,,,,Ромб
js,title_raid_marker_triangle,Triangle,,,,,,,,,Трикутник
js,title_raid_marker_moon,Moon,,,,,,,,,Місяць
js,title_raid_marker_square,Square,,,,,,,,,Квадрат
js,title_raid_marker_cross,Cross,,,,,,,,,Хрест
js,title_raid_marker_skull,Skull,,,,,,,,,Череп
js,npc_type_label,Type,,,,,,,,,Тип
js,npc_class_label,Class,,,,,,,,,Клас
js,enemy_portrait_label,Portrait,,,,,,,,,Портрет
js,object.deleted,Objects deleted successfully.,,,,,,,,,Об'єкти успішно видалено.
js,delete_all_pulls_successful,Pulls deleted successfully,,,,,,,,,Сутички успішно видалено
js,route_count_label,# of routes,,,,,,,,,К-сть маршрутів
js,roles_label,Roles,,,,,,,,,Ролі
js,registered_label,Registered at,,,,,,,,,Дата реєстрації
js,patreon_label,Patreon,,,,,,,,,Patreon
js,datatable_no_users_in_table,No users found,,,,,,,,,Користувачів не знайдено
js,datatable_no_npcs_in_table,No npcs found,,,,,,,,,НІПів не знайдено
js,enemy_count_label,Enemy count,,,,,,,,,К-сть ворогів
js,user_report_handled_success,User report successfully marked as resolved,,,,,,,,,Звіт користувача успішно позначено вирішеним
js,dungeonroute_refresh_thumbnail_success,Thumbnail refresh queued successfully,,,,,,,,,Оновлення зображення успішно додано в чергу
js,updated_patreon_benefits_successfully_label,Patreon benefits updated successfully,,,,,,,,,Бонуси Patreon успішно оновлено
js,mapping_version_readonly_label,This mapping version is read-only,,,,,,,,,Ця версія мапи доступна лише для перегляду.
js,mapping_version_upgrade_label,A new mapping version is available for your route.,,,,,,,,,Доступна нова версія мапи для вашого маршруту.
js,upgrade_label,Upgrade,,,,,,,,,Оновити
js,classification_label,Classification,,,,,,,,,Класифікація
js,edit_label,Edit,,,,,,,,,Змінити
js,make_label,Make,,,,,,,,,Створити
js,delete_user_label,Delete user,,,,,,,,,Видалити користувача
js,view_ip_addresses_label,View IP Addresses,,,,,,,,,Показати IP-адреси
js,grant_all_benefits_label,Grant all benefits,,,,,,,,,Надати всі бонуси
js,patreon_benefits_manually_granted_label,All benefits manually granted,,,,,,,,,Усі бонуси надано вручну
js,import_notes_label,Import notes,,,,,,,,,Імпортувати примітки
js,import_errors_label,Import errors,,,,,,,,,Імпортувати помилки
js,warnings_label,Warnings,,,,,,,,,Зауваги
js,category_label,Category,,,,,,,,,Категорія
js,message_label,Message,,,,,,,,,Повідомлення
js,save_tag_success,Tag updated successfully,,,,,,,,,Мітку успішно оновлено
js,delete_tag_success,Tag deleted successfully,,,,,,,,,Мітку успішно видалено
js,settings_saved,Settings saved successfully,,,,,,,,,Налаштування успішно збережено
js,pull_gradient_settings_saved,Pull gradient settings saved successfully,,,,,,,,,Налаштування градієнта успішно збережено
js,route_published_state_changed,Route sharing settings updated successfully,,,,,,,,,Налаштування поширення успішно оновлено
js,datatable_no_routes_in_table,No routes found,,,,,,,,,Маршрутів не знайдено
js,cannot_change_sharing_settings_not_all_required_enemies_killed,Unable to change sharing settings: not all required enemies have been killed,,,,,,,,,Не вдалося змінити налаштування поширення: убито не всіх обов'язкових ворогів
js,mapping_version_saved,Mapping version saved successfully,,,,,,,,,Версію мапи успішно збережено
js,vote,vote,,,,,,,,,голос
js,votes,votes,,,,,,,,,гол.
js,route_delete_confirm,Are you sure you wish to delete this route?,,,,,,,,,Справді хочете видалити цей маршрут?
js,route_delete_successful,Route deleted successfully,,,,,,,,,Маршрут успішно видалено
js,route_clone_successful,Route cloned successfully,,,,,,,,,Маршрут успішно продубльовано
js,route_clone_select_team,Unable to clone route - select a team to clone to first,,,,,,,,,Не вдалося продублювати маршрут. Спочатку оберіть команду для дублювання.
js,route_migration_to_encrypted_confirm_warning,"The following changes will be performed to your route:
        the affixes assigned to the route will be dropped in favor of the current active affix for your region,
        enemies specific to previous seasons assigned to your pulls (Tormented Lieutenants for example) will be removed from all pulls,
        if an existing pull contains a pack with Encrypted Relics they will be added to that pull. Are you sure you wish to continue with the migration?",,,,,,,,,"Ваш маршрут зазнає таких змін:
— Призначені модифікатори будуть замінені на поточний активний модифікатор у вашому регіоні;
— Вороги з попередніх сезонів (наприклад, Tormented Lieutenants) будуть видалені з усіх сутичок, у яких вони перебували;
— Якщо наявна сутичка містить групу ворогів із зашифрованими реліквіями, вони будуть додані до тієї сутички.
Упевнені, що хочете продовжити перенесення?"
js,route_migration_to_shrouded_confirm_warning,"The following changes will be performed to your route:
        the affixes assigned to the route will be dropped in favor of the current active affix for your region,
        enemies specific to previous seasons assigned to your pulls (Encrypted enemies for example) will be removed from all pulls.
        Shrouded enemies will be added to your route if they were part of your existing pulls. Are you sure you wish to continue with the migration?",,,,,,,,,"Ваш маршрут зазнає таких змін:
— Призначені модифікатори будуть замінені на поточний активний модифікатор у вашому регіоні;
— Вороги з попередніх сезонів (наприклад, вороги з ефектом Encrypted) будуть видалені з усіх сутичок, у яких вони перебували;
— Вороги з ефектом Shrouded будуть додані до маршруту, якщо вони перебували в наявних сутичках.
Упевнені, що хочете продовжити перенесення?"
js,route_migration_successful,Route migrated successfully,,,,,,,,,Маршрут успішно перенесено
js,sharing_label,Sharing,,,,,,,,,Поділитися
js,route_table_published_state_unpublished,This route is unpublished,,,,,,,,,Маршрут неопублікований
js,route_table_published_state_team,This route is visible for all members of teams you are in,,,,,,,,,Маршрут доступний всім учасникам ваших команд
js,route_table_published_state_world,This route is visible for everyone,,,,,,,,,Маршрут доступний для всіх
js,route_table_published_state_world_with_link,This route is visible for everyone that has the link,,,,,,,,,"Маршрут доступний для всіх, хто має посилання"
js,intro_sidebar,"Welcome to Keystone.guru! To begin, this is the sidebar. Here you can adjust options for your route or view information about it.",,,,,,,,,Вітаємо на Keystone.guru! Спочатку ознайомтеся з бічною панеллю. Тут ви можете змінювати налаштування маршруту або переглядати інформацію про нього.
js,intro_sidebar_toggle,You can use this button to hide or show the sidebar.,,,,,,,,,"Використовуйте цю кнопку, щоб показати або приховати бічну панель."
js,intro_visibility_tools,Here you can select different visualization options.,,,,,,,,,Тут ви можете налаштувати вигляд ворогів на мапі.
js,intro_map_enemy_visuals,You can choose from multiple different enemy visualizations to help you quickly find the information you need.,,,,,,,,,"Ви можете вибрати різні способи показу ворогів, щоб швидко знайти потрібну інформацію."
js,intro_map_map_object_group_visibility_container,"These are your visibility toggles. You can hide enemies, enemy patrols, enemy packs, your own paths, your own pulls, all map icons, start markers and floor switch markers.",,,,,,,,,"Ось це перемикачі видимості. Ви можете приховати ворогів, патрулі, групи ворогів, усі значки на мапі, значки початку підземелля, значки перемикачів поверхів, свої шляхи й сутички."
js,intro_floor_selection,"If your dungeon has multiple floors, this is where you can change floors. You can also click the doors on the map to go to the next floor.",,,,,,,,,"Якщо підземелля має кілька поверхів, тут ви зможете перемикатися між ними. Також можна клацати на двері на мапі, щоб перейти на наступний поверх."
js,intro_route_actions,These are various actions you can perform while viewing or editing your route.,,,,,,,,,"Це перелік дій, які ви можете робити під час перегляду або редагування маршруту."
js,intro_route_actions_draw_settings,Opening the draw settings will allow you adjust some default variables and behaviour to make editing your route easier.,,,,,,,,,"Відкривши налаштування малювання, ви зможете змінити деякі стандартні параметри й поведінку, щоб полегшити редагування маршруту."
js,intro_route_actions_map_login_and_continue,"If you're already a member of Keystone.guru but not logged in, you can log in here and save the current route to your profile.",,,,,,,,,"Якщо ви вже зареєстровані на Keystone.guru, але ще не ввійшли в систему, то можете зробити це тут і зберегти поточний маршрут у профіль."
js,intro_route_actions_map_register_and_continue,"If you're not yet a member of Keystone.guru, you can register here and save the current route to your profile.",,,,,,,,,"Якщо ви ще не зареєстровані на Keystone.guru, то можете зробити це тут і зберегти поточний маршрут у профіль."
js,intro_route_actions_save_and_continue,"While trying out a route when you're logged in, you can opt to save it to your profile.",,,,,,,,,"Якщо ви ввійшли в систему під час випробування маршруту, можете зберегти його у свій профіль."
js,intro_route_manipulation_tools,These are your route manipulation tools.,,,,,,,,,Це ваші інструменти для роботи з маршрутом.
js,intro_draw_path,"You can draw paths with this tool. Click it, then click on the map once to start, then as much times as you want to mark your path from A to B. Once finished, you can click
            the line on the map to change its color or thickness.",,,,,,,,,"За допомогою цього інструмента можна малювати шляхи. Клацніть на нього, потім один раз на мапі, щоб розпочати. Продовжуйте клацати, поки не прокладете бажаний шлях від точки А до точки Б. Коли завершите, клацніть на лінії, щоб змінити її колір або товщину."
js,intro_draw_mapicon,Use this tool to place icons on the map with an optional comment.,,,,,,,,,"Використовуйте цей інструмент, щоб розмістити на мапі значки. До них також можна додати коментар."
js,intro_draw_brushline,"Use this tool to draw lines in a more flexible manner on your route, without directional arrows.",,,,,,,,,"Використовуйте цей інструмент, щоб малювати гнучкіші лінії без стрілок."
js,intro_draw_pridefulenemy,The current seasonal affix is Prideful which spawns a Prideful Manifestation every 20% enemy forces. Use this button to spawn Prideful Manifestations where you desire to kill them.,,,,,,,,,"Prideful — це поточний сезонний модифікатор, який прикликає втілення гордині (Prideful Manifestation) після кожних 20% ворожих військ. Використовуйте цю кнопку, щоб розмістити втілення в бажаному місці вбивства."
js,intro_draw_edit,You can use the edit button to adjust your created elements such as icons or drawn lines.,,,,,,,,,"Використовуйте кнопку «Змінити», щоб відредагувати створені елементи, як-от значки чи лінії."
js,intro_draw_remove,"You can use the delete button to remove elements you have created. Click it once, then select the highlighted elements you wish to delete. Deleting happens in a preview mode, you have to confirm your delete by pressing the 'Finish' button, or hit the 'Cancel' button to undo them. If you confirm the deletion, there is no turning back!",,,,,,,,,"Використовуйте кнопку «Видалити», щоб прибрати створені елементи. Клацніть на неї один раз, а тоді виберіть підсвічені елементи, які бажаєте видалити. Видалення відбувається в режимі попереднього перегляду. Щоб підтвердити видалення, натисніть «Завершити», а щоб скасувати зміни, натисніть «Скасувати». Після підтвердження повернути елементи вже не вдасться!"
js,intro_map_enemy_forces_numbers,"This label indicates the current progress with enemy forces. You can click on enemies to add them to a new pull, or select a pull from the list below and add enemies to it.",,,,,,,,,"Цей елемент показує поточний прогрес убивства ворожих військ. Клацайте на ворогів, щоб додати їх до сутички, або виберіть сутичку зі списку внизу й додавайте ворогів туди."
js,intro_new_pull,"You can use this button to create a new pull. Alternatively, you can click any enemy on the map to start a pull as well.",,,,,,,,,"Використовуйте цю кнопку, щоб створити сутичку. Також можна клацнути на будь-якого ворога на мапі, щоб розпочати сутичку."
js,enemy_forces_not_all_required_enemies_killed_label,Warning: this route does not kill all required enemies,,,,,,,,,Заувага: у цьому маршруті помирають не всі обов'язкові вороги
js,enemy_forces_too_much_label,Warning: your route has too much enemy forces,,,,,,,,,Заувага: ваш маршрут має забагато очок ворожих військ
js,enemy_forces_too_little_label,Warning: this route does not have enough enemy forces!,,,,,,,,,Заувага: цей маршрут має недостатньо очок ворожих військ!
js,enemy_forces_overridden_label,Your route's enemy forces may have been corrected due to overpulled enemies which caused automatic alterations in your route,,,,,,,,,"Очки ворожих військ на вашому маршруті могли бути скориговані через надлишок ворогів, що спричинило автоматичні зміни маршруту."
js,sidebar_expand,Expand the sidebar,,,,,,,,,Розгорнути бічну панель
js,sidebar_collapse,Collapse the sidebar,,,,,,,,,Згорнути бічну панель
js,copied_to_clipboard,Copied to clipboard,,,,,,,,,Скопійовано в буфер обміну
js,sidebar_enemy_group_label,Group,,,,,,,,,Група
js,sidebar_enemy_health_label,Health,,,,,,,,,Здоров'я
js,sidebar_enemy_id_label,Enemy ID,,,,,,,,,ID ворога
js,sidebar_enemy_npc_id_label,Npc ID,,,,,,,,,ID НІПа
js,sidebar_enemy_bursting_label,Bursts,,,,,,,,,Bursting
js,sidebar_enemy_sanguine_label,Sanguine,,,,,,,,,Sanguine
js,sidebar_enemy_bolstering_label,Bolsters,,,,,,,,,Bolstering
js,sidebar_enemy_bolstering_whitelist_npcs_label,Bolsters only,,,,,,,,,Лише Bolstering
js,sidebar_enemy_spell_label,Spells,,,,,,,,,Закляття
js,sidebar_enemy_skippable_label,Skippable,,,,,,,,,Можна обійти
js,sidebar_enemy_runs_away_in_fear_label,Runs away,,,,,,,,,Утікає
js,sidebar_hyper_respawns_label,Hyperspawns,,,,,,,,,Гіпервідродження
js,sidebar_enemy_health_affixes_label,This health value is scaled by :affixes (:baseHealth * :factor%).,,,,,,,,,На значення здоров'я впливають такі модифікатори: :affixes (:baseHealth * :factor%).
js,sidebar_enemy_skippable_info_label,A skippable enemy is an enemy that can be skipped without using invisibility potions or Rogue Shroud. These enemies may be excluded from your routes once you mark enemies as overpulled during a live session.,,,,,,,,,"Пропущуваного ворога можна обійти без використання зілля невидимості або Покрову пройдисвіта. Таких противників можна прибрати з ваших маршрутів, якщо їх позначити як надлишкових під час презентації."
js,user_report_enemy_success,Report sent successfully. Thank you for helping improve Keystone.guru!,,,,,,,,,Звіт про помилку успішно надіслано. Дякуємо за допомогу в покращенні Keystone.guru!
js,dungeonroute_report_enemy_success,Report sent successfully. Thank you for helping improve Keystone.guru!,,,,,,,,,Звіт про помилку успішно надіслано. Дякуємо за допомогу в покращенні Keystone.guru!
js,tag_delete_success,Tag removed successfully,,,,,,,,,Мітку успішно прибрано
js,tag_create_success,Tag created successfully,,,,,,,,,Мітку успішно створено
js,killzone_sidebar_kill_location_label,Kill location,,,,,,,,,Місце вбивства
js,killzone_sidebar_delete_all_pulls_confirm_label,Are you sure you want to delete all your pulls? This action can not be undone.,,,,,,,,,Справді хочете видалити всі сутички? Цю дію неможливо скасувати.
js,min_password_length,Minimum password length is 8,,,,,,,,,Пароль повинен містити щонайменше 8 символів
js,weak,Weak,,,,,,,,,Слабкий
js,medium,Medium,,,,,,,,,Середній
js,strong,Strong,,,,,,,,,Сильний
js,contains_username,Password cannot contain your username,,,,,,,,,Пароль не може містити ваше ім'я користувача
js,mdt_faction,Faction,,,,,,,,,Фракція
js,mdt_dungeon,Dungeon,,,,,,,,,Підземелля
js,mdt_affixes,Affixes,,,,,,,,,Модифікатори
js,mdt_pulls,Pulls,,,,,,,,,Сутички
js,mdt_paths,Paths,,,,,,,,,Шляхи
js,mdt_drawn_lines,Drawn lines,,,,,,,,,Намальовані лінії
js,mdt_notes,Notes,,,,,,,,,Примітки
js,mdt_enemy_forces,Enemy forces,,,,,,,,,Ворожі війська
js,ajax_error_default,An error occurred while performing your request. Please try again.,,,,,,,,,Під час виконання вашого запиту виникла помилка. Спробуйте знову.
js,ajax_error_403,You are not authorized to perform this request.,,,,,,,,,У вас немає прав для виконання цього запиту.
js,ajax_error_404,The requested resource was not found.,,,,,,,,,Запитаний ресурс не знайдено.
js,ajax_error_419,Your session has expired. Please refresh the page and try again.,,,,,,,,,Час вашого сеансу сплинув. Оновіть сторінку й спробуйте ще раз.
js,map_object_readonly_label,This mapping version is read-only,,,,,,,,,Ця версія мапи доступна лише для перегляду.
js,map_object_category_general_label,General,,,,,,,,,Загальне
js,map_object_category_legacy_label,Legacy,,,,,,,,,Архів
js,map_object_category_advanced_label,Advanced,,,,,,,,,Розширене
js,mapicon_faction_select_default_label,Select faction,,,,,,,,,Вибрати фракцію
js,mapicon_teeming_select_default_label,Select teeming,,,,,,,,,Вибрати Teeming
js,map_icon_faction_label,Faction,,,,,,,,,Фракція
js,map_icon_teeming_label,Teeming,,,,,,,,,Teeming
js,map_icon_show_across_team_label,Show icon on all routes in team for this dungeon,,,,,,,,,Показувати значок на всіх маршрутах команди для цього підземелля
js,map_icon_permanent_tooltip_label,Permanent tooltip,,,,,,,,,Постійна підказка
js,map_icon_map_icon_type_id_label,Icon,,,,,,,,,Значок
js,map_icon_comment_label,Comment,,,,,,,,,Коментар
js,map_icon_comment_description_label,Supported HTML tags: :tags,,,,,,,,,Підтримувані мітки HTML: :tags
js,map_icon_map_icon_type_id_select_default_label,Select icon,,,,,,,,,Вибрати значок
js,map_icon_seasonal_type_label,Seasonal type,,,,,,,,,Сезонний тип
js,map_icon_seasonal_index_label,Seasonal index,,,,,,,,,Індекс сезону
js,map_icon_seasonal_index_select_default_label,Not set,,,,,,,,,Не встановлено
js,admin_map_icon_faction_label,Faction,,,,,,,,,Фракція
js,admin_map_icon_teeming_label,Teeming,,,,,,,,,Teeming
js,admin_map_icon_permanent_tooltip_label,Permanent tooltip,,,,,,,,,Постійна підказка
js,admin_map_icon_map_icon_type_id_label,Icon,,,,,,,,,Значок
js,admin_map_icon_comment_label,Comment,,,,,,,,,Коментар
js,admin_map_icon_map_icon_type_id_select_default_label,Select icon,,,,,,,,,Вибрати значок
js,admin_map_icon_seasonal_type_label,Seasonal type,,,,,,,,,Сезонний тип
js,admin_map_icon_seasonal_index_label,Seasonal index,,,,,,,,,Індекс сезону
js,admin_map_icon_seasonal_index_select_default_label,Not set,,,,,,,,,Не встановлено
js,enemy_faction_label,Faction,,,,,,,,,Фракція
js,enemy_teeming_label,Teeming,,,,,,,,,Teeming
js,enemy_npc_id_label,Npc,,,,,,,,,НІП
js,enemy_floor_id_label,Floor,,,,,,,,,Поверх
js,enemy_mdt_id_label,MDT ID,,,,,,,,,ID в MDT
js,enemy_mdt_npc_id_label,MDT Npc (optional),,,,,,,,,НІП в MDT (необов'язково)
js,enemy_seasonal_type_label,Seasonal type,,,,,,,,,Сезонний тип
js,enemy_seasonal_type_select_default_label,Not set,,,,,,,,,Не встановлено
js,enemy_seasonal_index_label,Seasonal index,,,,,,,,,Індекс сезону
js,enemy_seasonal_index_select_default_label,Not set,,,,,,,,,Не встановлено
js,enemy_active_auras_label,Active auras,,,,,,,,,Активні аури
js,enemy_active_auras_select_default_label,Not set,,,,,,,,,Не встановлено
js,enemy_enemy_forces_override_label,Enemy forces override (-1 to inherit),,,,,,,,,Перевизначити очки ворожих військ (-1 для стандартних)
js,enemy_enemy_forces_override_teeming_label,Enemy forces override teeming (-1 to inherit),,,,,,,,,Перевизначити очки ворожих військ з Teeming (-1 для стандартних)
js,enemy_dungeon_difficulty_select_default_label,Always,,,,,,,,,Завжди
js,enemy_dungeon_difficulty_label,Dungeon difficulty,,,,,,,,,Складінсть підземелля
js,enemy_required_label,Required,,,,,,,,,Обов'язковий
js,enemy_skippable_label,Skippable,,,,,,,,,Можна обійти
js,enemy_hyper_respawn_label,Hyper respawn,,,,,,,,,Гіпервідродження
js,enemy_kill_priority_label,Kill priority,,,,,,,,,Пріоритет убивства
js,enemy_kill_priority_select_default_label,Select kill priority,,,,,,,,,Вибрати пріоритет убивства
js,enemy_npc_id_select_default_label,Select NPC,,,,,,,,,Вибрати НІПа
js,enemy_mdt_npc_id_select_default_label,Select NPC,,,,,,,,,Вибрати НІПа
js,admin_enemy_pack_faction_label,Faction,,,,,,,,,Фракція
js,admin_enemy_pack_teeming_label,Teeming,,,,,,,,,Teeming
js,admin_enemy_pack_label_label,Label,,,,,,,,,Мітка
js,brushline_color_label,Color,,,,,,,,,Колір
js,brushline_color_animated_label,Animated color,,,,,,,,,Анімований колір
js,brushline_weight_label,Weight,,,,,,,,,Товщина
js,path_color_label,Color,,,,,,,,,Колір
