9/7 09:50:26.066  ZONE_CHANGE,429,"Dire Maul",1
9/7 09:55:18.761  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-14370-0001F981E5,"Cadaverous Worm",0x10a48,0x0,0
9/7 09:55:18.761  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-14370-00027981E5,"Cadaverous Worm",0xa48,0x0,0
9/7 09:55:18.761  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-14370-00017981E5,"Cadaverous Worm",0xa48,0x0,0
9/7 09:55:18.761  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-14370-0002F981E5,"Cadaverous Worm",0xa48,0x0,0
9/7 09:55:18.761  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-14370-00037981E5,"Cadaverous Worm",0xa48,0x0,0
9/7 09:55:18.761  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-14370-0000F981E5,"Cadaverous Worm",0xa48,0x0,0
9/7 09:55:18.767  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-14370-0003F981E5,"Cadaverous Worm",0xa48,0x0,0
9/7 09:56:27.756  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11471-0001797A06,"Eldreth Apparition",0x10a48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11471-0001797A06,0000000000000000,0,9420,0,0,203,0,0,3804,3804,0,117.85,439.17,237,0.5768,29,832789,925321,823369,1,0,0,0,nil,nil,nil
9/7 09:56:27.756  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11472-0002F97A06,"Eldreth Spirit",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11472-0002F97A06,0000000000000000,0,6585,0,0,186,0,1,0,0,0,124.73,437.86,237,2.8269,28,940447,940446,933862,1,0,0,0,nil,nil,nil
9/7 09:56:27.756  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11472-0002797A06,"Eldreth Spirit",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11472-0002797A06,0000000000000000,0,6585,0,0,186,0,1,0,0,0,119.38,429.91,237,1.6838,28,925666,925665,919081,1,0,0,0,nil,nil,nil
9/7 09:56:27.774  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11471-0001797A06,"Eldreth Apparition",0x10a48,0x0,0
9/7 09:56:27.774  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11472-0002797A06,"Eldreth Spirit",0xa48,0x0,0
9/7 09:56:27.774  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11472-0002F97A06,"Eldreth Spirit",0xa48,0x0,0
9/7 09:56:35.450  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11472-0002797A05,"Eldreth Spirit",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11472-0002797A05,0000000000000000,0,9420,0,0,203,0,1,0,0,0,105.99,518.44,237,3.9624,29,939500,939500,930080,1,0,0,0,nil,nil,nil
9/7 09:56:35.450  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11475-0001F97A05,"Eldreth Phantasm",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11475-0001F97A05,0000000000000000,0,9420,0,0,203,0,1,0,0,0,103.46,503.59,237,1.9010,29,963694,963694,954274,1,0,0,0,nil,nil,nil
9/7 09:56:35.454  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11471-0000F97A05,"Eldreth Apparition",0x10a48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11471-0000F97A05,0000000000000000,0,9420,0,0,203,0,0,3804,3804,0,99.50,510.99,237,1.0526,29,867611,964012,858191,1,0,0,0,nil,nil,nil
9/7 09:56:35.481  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11471-0000F97A05,"Eldreth Apparition",0x10a48,0x0,0
9/7 09:56:35.481  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11472-0002797A05,"Eldreth Spirit",0xa48,0x0,0
9/7 09:56:35.481  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11475-0001F97A05,"Eldreth Phantasm",0xa48,0x0,0
9/7 09:56:58.783  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11472-0000F97A05,"Eldreth Spirit",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11472-0000F97A05,0000000000000000,0,6585,0,0,186,0,1,0,0,0,135.81,559.56,237,3.2875,28,955038,955037,948453,1,0,0,0,nil,nil,nil
9/7 09:56:58.783  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11472-0000797A05,"Eldreth Spirit",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11472-0000797A05,0000000000000000,0,9420,0,0,203,0,1,0,0,0,135.20,564.82,237,4.0160,29,953441,953440,944021,1,0,0,0,nil,nil,nil
9/7 09:56:58.783  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11467-0000797A05,"Tsu'zee",0x10a48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11467-0000797A05,0000000000000000,0,26172,0,0,222,0,1,0,0,0,128.64,561.76,237,5.1610,31,919862,919861,893690,1,0,0,0,nil,nil,nil
9/7 09:56:58.801  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11472-0000797A05,"Eldreth Spirit",0xa48,0x0,0
9/7 09:56:58.801  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11467-0000797A05,"Tsu'zee",0x10a48,0x0,0
9/7 09:56:58.801  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11472-0000F97A05,"Eldreth Spirit",0xa48,0x0,0
9/7 09:57:07.003  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11471-0000797A05,"Eldreth Apparition",0x10a48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11471-0000797A05,0000000000000000,0,9420,0,0,203,0,0,3804,3804,0,59.13,545.56,237,6.0302,29,859977,955529,850557,1,0,0,0,nil,nil,nil
9/7 09:57:07.003  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11472-0001797A05,"Eldreth Spirit",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11472-0001797A05,0000000000000000,0,6585,0,0,186,0,1,0,0,0,60.04,536.53,237,1.2422,28,1924890,962444,1918305,1,0,0,0,1,nil,nil
9/7 09:57:07.003  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11472-0001F97A05,"Eldreth Spirit",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11472-0001F97A05,0000000000000000,0,6585,0,0,186,0,1,0,0,0,67.41,550.24,237,4.0250,28,1912896,956448,1906311,1,0,0,0,1,nil,nil
9/7 09:57:07.003  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11475-0001797A05,"Eldreth Phantasm",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11475-0001797A05,0000000000000000,0,9420,0,0,203,0,1,0,0,0,62.87,555.17,237,4.7056,29,1907739,953869,1898319,1,0,0,0,1,nil,nil
9/7 09:57:07.024  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11471-0000797A05,"Eldreth Apparition",0x10a48,0x0,0
9/7 09:57:07.024  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11472-0001797A05,"Eldreth Spirit",0xa48,0x0,0
9/7 09:57:07.024  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11472-0001F97A05,"Eldreth Spirit",0xa48,0x0,0
9/7 09:57:07.024  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11475-0001797A05,"Eldreth Phantasm",0xa48,0x0,0
9/7 09:57:10.740  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11487-0000797A05,"Magister Kalendris",0x10a48,0x0,164812,"Moonfire",0x40,Creature-0-4249-429-9259-11487-0000797A05,0000000000000000,0,81655,0,0,232,0,0,6510,6510,0,27.11,571.26,237,5.4182,32,2292217,1146108,2210562,64,0,0,0,1,nil,nil
9/7 09:57:10.759  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11487-0000797A05,"Magister Kalendris",0x10a48,0x0,0
9/7 09:57:17.894  MAP_CHANGE,237,"Dire Maul",175.000000,-150.000000,718.750000,231.250000
9/7 09:57:18.742  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11471-0000F97A06,"Eldreth Apparition",0x10a48,0x0,106785,"Swipe",0x1,Creature-0-4249-429-9259-11471-0000F97A06,0000000000000000,0,6585,0,0,186,0,0,3546,3546,0,-22.87,549.32,237,6.0543,28,5250248,2962914,5243663,1,0,0,0,1,nil,nil
9/7 09:57:18.742  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11472-0001F97A06,"Eldreth Spirit",0xa48,0x0,106785,"Swipe",0x1,Creature-0-4249-429-9259-11472-0001F97A06,0000000000000000,0,9420,0,0,203,0,1,0,0,0,-20.61,539.53,237,1.1847,29,5909028,3005488,5899608,1,0,0,0,1,nil,nil
9/7 09:57:18.755  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11472-0001797A06,"Eldreth Spirit",0xa48,0x0,106785,"Swipe",0x1,Creature-0-4249-429-9259-11472-0001797A06,0000000000000000,0,9420,0,0,203,0,1,0,0,0,-17.71,555.97,237,4.7782,29,2935417,2986061,2925997,1,0,0,0,nil,nil,nil
9/7 09:57:18.782  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11471-0000F97A06,"Eldreth Apparition",0x10a48,0x0,0
9/7 09:57:18.782  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11472-0001797A06,"Eldreth Spirit",0xa48,0x0,0
9/7 09:57:18.782  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11472-0001F97A06,"Eldreth Spirit",0xa48,0x0,0
9/7 09:57:24.581  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11471-0001F97A06,"Eldreth Apparition",0x10a48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11471-0001F97A06,0000000000000000,0,6585,0,0,186,0,0,3546,3546,0,-67.54,553.25,237,4.1106,28,838267,931408,831682,1,0,0,0,nil,nil,nil
9/7 09:57:24.581  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11475-0000797A06,"Eldreth Phantasm",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11475-0000797A06,0000000000000000,0,9420,0,0,203,0,1,0,0,0,-74.83,562.59,237,5.1550,29,1928898,964449,1919478,1,0,0,0,1,nil,nil
9/7 09:57:24.581  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11471-0002797A06,"Eldreth Apparition",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11471-0002797A06,0000000000000000,0,6585,0,0,186,0,0,3546,3546,0,-74.00,545.36,237,0.8466,28,1686630,937017,1680045,1,0,0,0,1,nil,nil
9/7 09:57:24.581  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11472-0003797A06,"Eldreth Spirit",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11472-0003797A06,0000000000000000,0,6585,0,0,186,0,1,0,0,0,-64.54,537.92,237,1.9239,28,928018,928018,921433,1,0,0,0,nil,nil,nil
9/7 09:57:24.581  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-14361-0001F97A05,"Shen'dralar Wisp",0xa28,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-14361-0001F97A05,0000000000000000,0,2035,0,0,212,0,1,0,0,0,-74.81,545.90,237,3.8692,30,949080,949080,947045,1,0,0,0,nil,nil,nil
9/7 09:57:24.603  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-14361-0001F97A05,"Shen'dralar Wisp",0xa28,0x0,0
9/7 09:57:24.603  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11475-0000797A06,"Eldreth Phantasm",0xa48,0x0,0
9/7 09:57:24.603  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11471-0002797A06,"Eldreth Apparition",0xa48,0x0,0
9/7 09:57:24.603  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11471-0001F97A06,"Eldreth Apparition",0x10a48,0x0,0
9/7 09:57:24.603  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11472-0003797A06,"Eldreth Spirit",0xa48,0x0,0
9/7 09:57:30.880  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11471-0000797A06,"Eldreth Apparition",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11471-0000797A06,0000000000000000,0,6585,0,0,186,0,0,3546,3546,0,-103.22,480.01,237,1.1157,28,1689173,938429,1682588,1,0,0,0,1,nil,nil
9/7 09:57:30.880  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11472-0000797A06,"Eldreth Spirit",0x10a48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11472-0000797A06,0000000000000000,0,9420,0,0,203,0,1,0,0,0,-103.16,488.33,237,6.0991,29,1853427,926713,1844007,1,0,0,0,1,nil,nil
9/7 09:57:30.880  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11472-0000F97A06,"Eldreth Spirit",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11472-0000F97A06,0000000000000000,0,9420,0,0,203,0,1,0,0,0,-90.14,486.11,237,2.9782,29,920888,920887,911468,1,0,0,0,nil,nil,nil
9/7 09:57:30.880  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11473-0001797A05,"Eldreth Spectre",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11473-0001797A05,0000000000000000,0,9420,0,0,203,0,0,3944,3944,0,-96.09,491.40,237,3.9676,29,937495,937495,928075,1,0,0,0,nil,nil,nil
9/7 09:57:30.911  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11471-0000797A06,"Eldreth Apparition",0xa48,0x0,0
9/7 09:57:30.911  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11472-0000797A06,"Eldreth Spirit",0x10a48,0x0,0
9/7 09:57:30.911  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11472-0000F97A06,"Eldreth Spirit",0xa48,0x0,0
9/7 09:57:30.911  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11473-0001797A05,"Eldreth Spectre",0xa48,0x0,0
9/7 09:57:42.235  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11470-0001797A05,"Eldreth Sorcerer",0x10a48,0x0,0
9/7 09:57:42.235  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11476-0000F97A06,"Skeletal Highborne",0xa48,0x0,0
9/7 09:57:42.235  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11476-0001797A06,"Skeletal Highborne",0xa48,0x0,0
9/7 09:57:42.235  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11476-0001797A06,"Skeletal Highborne",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11476-0001797A06,0000000000000000,0,2035,0,0,212,0,1,0,0,0,-22.41,504.89,236,3.2616,30,923624,923623,921589,1,0,0,0,nil,nil,nil
9/7 09:57:42.235  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11469-0000797A05,"Eldreth Seether",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11469-0000797A05,0000000000000000,0,9420,0,0,203,0,1,0,0,0,-28.58,511.14,236,4.4785,29,919624,919623,910204,1,0,0,0,nil,nil,nil
9/7 09:57:42.235  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11476-0000F97A06,"Skeletal Highborne",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11476-0000F97A06,0000000000000000,0,1884,0,0,203,0,1,0,0,0,-30.51,505.35,236,5.1791,29,956159,956158,954275,1,0,0,0,nil,nil,nil
9/7 09:57:42.235  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11470-0001797A05,"Eldreth Sorcerer",0x10a48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11470-0001797A05,0000000000000000,0,10175,0,0,212,0,0,4143,4143,0,-27.43,507.02,236,3.9620,30,1841652,920826,1831477,1,0,0,0,1,nil,nil
9/7 09:57:42.235  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11469-0000797A05,"Eldreth Seether",0xa48,0x0,0
9/7 09:58:15.284  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11489-0000797A05,"Tendris Warpwood",0x10a48,0x0,164812,"Moonfire",0x40,Creature-0-4249-429-9259-11489-0000797A05,0000000000000000,0,76335,0,0,222,0,1,0,0,0,13.07,472.84,236,4.8568,31,2280027,1140013,2203692,64,0,0,0,1,nil,nil
9/7 09:58:15.284  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11489-0000797A05,"Tendris Warpwood",0x10a48,0x0,0
9/7 09:59:29.540  MAP_CHANGE,236,"Dire Maul",200.000000,-150.000000,650.000000,125.000000
9/7 09:59:41.418  MAP_CHANGE,237,"Dire Maul",175.000000,-150.000000,718.750000,231.250000
9/7 09:59:48.532  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11473-0002797A05,"Eldreth Spectre",0x10a48,0x0,106785,"Swipe",0x1,Creature-0-4249-429-9259-11473-0002797A05,0000000000000000,0,10175,0,0,212,0,0,4143,4143,0,73.40,554.05,236,6.2473,30,2814057,2864761,2803882,1,0,0,0,nil,nil,nil
9/7 09:59:48.532  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11473-0000F97A06,"Eldreth Spectre",0xa48,0x0,106785,"Swipe",0x1,Creature-0-4249-429-9259-11473-0000F97A06,0000000000000000,0,9420,0,0,203,0,0,3944,3944,0,84.80,548.92,236,1.9604,29,2940627,2991362,2931207,1,0,0,0,nil,nil,nil
9/7 09:59:48.561  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11473-0000F97A06,"Eldreth Spectre",0xa48,0x0,0
9/7 09:59:48.561  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11473-0002797A05,"Eldreth Spectre",0x10a48,0x0,0
9/7 09:59:50.430  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11470-0000797A05,"Eldreth Sorcerer",0xa48,0x0,106785,"Swipe",0x1,Creature-0-4249-429-9259-11470-0000797A05,0000000000000000,0,9420,0,0,203,0,0,3944,3944,0,82.63,570.37,236,3.9132,29,2895115,2945064,2885695,1,0,0,0,nil,nil,nil
9/7 09:59:50.430  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-14398-0000797A05,"Eldreth Darter",0x10a48,0x0,106785,"Swipe",0x1,Creature-0-4249-429-9259-14398-0000797A05,0000000000000000,0,10175,0,0,212,0,0,4143,4143,0,78.02,572.07,236,4.8224,30,2945016,2998079,2934841,1,0,0,0,nil,nil,nil
9/7 09:59:50.446  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11470-0000797A05,"Eldreth Sorcerer",0xa48,0x0,0
9/7 09:59:50.446  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-14398-0000797A05,"Eldreth Darter",0x10a48,0x0,0
9/7 10:00:02.887  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11470-0002F97A06,"Eldreth Sorcerer",0x10a48,0x0,106785,"Swipe",0x1,Creature-0-4249-429-9259-11470-0002F97A06,0000000000000000,0,10175,0,0,212,0,0,4143,4143,0,116.18,484.58,236,4.0229,30,2884950,2936931,2874775,1,0,0,0,nil,nil,nil
9/7 10:00:02.887  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11469-0001797A06,"Eldreth Seether",0xa48,0x0,106785,"Swipe",0x1,Creature-0-4249-429-9259-11469-0001797A06,0000000000000000,0,9420,0,0,203,0,1,0,0,0,117.65,477.47,236,2.4952,29,5722129,2910426,5712709,1,0,0,0,1,nil,nil
9/7 10:00:02.919  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11469-0001797A06,"Eldreth Seether",0xa48,0x0,0
9/7 10:00:02.919  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11470-0002F97A06,"Eldreth Sorcerer",0x10a48,0x0,0
9/7 10:00:12.990  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11483-0001797A05,"Mana Remnant",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11483-0001797A05,0000000000000000,0,10175,0,0,212,0,0,5524,5524,0,129.84,437.42,236,2.6313,30,922349,922348,912174,1,0,0,0,nil,nil,nil
9/7 10:00:12.990  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11480-0000F97A05,"Arcane Aberration",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11480-0000F97A05,0000000000000000,0,10175,0,0,212,0,0,5728,5728,0,112.23,437.34,236,0.5849,30,1878755,939377,1868580,1,0,0,0,1,nil,nil
9/7 10:00:13.010  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11483-0001797A05,"Mana Remnant",0xa48,0x0,0
9/7 10:00:13.010  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11480-0000F97A05,"Arcane Aberration",0xa48,0x0,0
9/7 10:00:14.754  SWING_DAMAGE_LANDED,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11483-0001F97A05,"Mana Remnant",0x10a48,0x0,Creature-0-4249-429-9259-11483-0001F97A05,0000000000000000,0,9420,0,0,203,0,0,5258,5258,0,111.30,425.57,236,0.9534,29,2178588,2216175,2169168,1,0,0,0,nil,nil,nil
9/7 10:00:14.754  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11483-0001F97A05,"Mana Remnant",0x10a48,0x0,0
9/7 10:00:18.486  SWING_DAMAGE_LANDED,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11480-0001797A05,"Arcane Aberration",0x10a48,0x0,Creature-0-4249-429-9259-11480-0001797A05,0000000000000000,0,10175,0,0,212,0,0,5728,5728,0,130.08,423.18,236,1.9108,30,2104643,2142564,2094468,1,0,0,0,nil,nil,nil
9/7 10:00:18.506  UNIT_DIED,0000000000000000,nil,0x80000000,0x80000000,Creature-0-4249-429-9259-11480-0001797A05,"Arcane Aberration",0x10a48,0x0,0
9/7 10:00:27.660  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11477-0000797A05,"Rotting Highborne",0x10a48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11477-0000797A05,0000000000000000,0,2181,0,0,222,0,1,0,0,0,113.49,381.92,236,1.5960,31,927935,927934,925754,1,0,0,0,nil,nil,nil
9/7 10:00:27.660  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11477-0000F97A05,"Rotting Highborne",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11477-0000F97A05,0000000000000000,0,2181,0,0,222,0,1,0,0,0,117.15,390.88,236,3.2398,31,921945,921945,919764,1,0,0,0,nil,nil,nil
9/7 10:00:27.660  SPELL_DAMAGE,Player-1084-0A5F82CD,"Laroniá-TarrenMill",0x511,0x0,Creature-0-4249-429-9259-11477-0000797A06,"Rotting Highborne",0xa48,0x0,106830,"Thrash",0x1,Creature-0-4249-429-9259-11477-0000797A06,0000000000000000,0,2333,0,0,232,0,1,0,0,0,107.81,382.36,236,0.9796,32,1894525,947262,1892192,1,0,0,0,1,nil,nil
